period,partnerDesc,netWgt,primaryValue,数量(万吨),金额(亿美元)
201711,Brazil,2641751490.114,1157397406.0,264.1751490114,11.57397406
201711,Argentina,624101806.069,273429887.0,62.410180606900006,2.73429887
201712,USA,5548262110.265,2583319181.0,554.8262110265001,25.83319181
201712,Brazil,1764072170.308,821367373.0,176.4072170308,8.21367373
201712,Argentina,574670042.64,267571379.0,57.467004264,2.67571379
201801,USA,5814260138.0,2450851954.0,581.4260138000001,24.50851954
201801,Brazil,2073710000.0,867589738.0,207.371,8.67589738
201801,Argentina,89150000.0,36780617.0,8.915,0.36780617
201802,USA,3344520034.0,1403024319.0,334.4520034,14.03024319
201802,Brazil,1746070000.0,730269696.0,174.607,7.30269696
201803,USA,3100550194.0,1308850764.0,310.0550194,13.08850764
201803,Brazil,2332590000.0,1001081676.0,233.259,10.01081676
201804,Brazil,4400990000.0,1899299895.0,440.099,18.99299895
201804,USA,2418940121.0,1035261752.0,241.89401209999997,10.35261752
201805,Brazil,9123510000.0,3973503729.0,912.351,39.73503729
201805,USA,489540000.0,214912646.0,48.954,2.14912646
201806,Brazil,7838560000.0,3505953717.0,783.856,35.05953717
201806,USA,630253000.0,276191091.0,63.0253,2.76191091
201806,Argentina,120320000.0,51068986.0,12.032,0.51068986
201807,Brazil,7044110000.0,3145648682.0,704.411,31.45648682
201807,USA,308127161.0,136572801.0,30.812716100000003,1.36572801
201807,Argentina,297068000.0,122932313.0,29.7068,1.22932313
201808,Brazil,7945790000.0,3433599154.0,794.579,34.33599154
201808,Argentina,547942000.0,231884955.0,54.7942,2.31884955
201808,USA,265378000.0,116689033.0,26.5378,1.16689033
201809,Brazil,7590280000.0,3244168735.0,759.028,32.44168735
201809,Argentina,153510000.0,66612890.0,15.351,0.6661289
201809,USA,132248000.0,57420840.0,13.2248,0.5742084
201810,Brazil,6530680000.0,2853156125.0,653.068,28.53156125
201810,USA,66955200.0,30035845.0,6.69552,0.30035845
201810,Argentina,33200006.0,13792471.0,3.3200006,0.13792471
201811,Brazil,5068520000.0,2214336895.0,506.852,22.14336895
201811,Argentina,36118900.0,15569254.0,3.6118900000000003,0.15569254
201812,Brazil,4386840000.0,1973967615.0,438.684,19.73967615
201812,Argentina,186640000.0,82561416.0,18.664,0.82561416
201812,USA,69298500.0,31381584.0,6.92985,0.31381584
201901,Brazil,4932690000.0,2224724082.0,493.269,22.24724082
201901,Argentina,985088000.0,442420654.0,98.5088,4.42420654
201901,USA,135772000.0,62320214.0,13.5772,0.62320214
201902,Brazil,1986310000.0,883058227.0,198.631,8.83058227
201902,USA,907937000.0,366843299.0,90.7937,3.66843299
201902,Argentina,841124000.0,382890656.0,84.1124,3.82890656
201903,Brazil,2791500000.0,1138520247.0,279.15,11.38520247
201903,USA,1510880000.0,605837160.0,151.088,6.0583716
201903,Argentina,322858000.0,145866119.0,32.2858,1.45866119
201904,Brazil,5786130000.0,2316554096.0,578.613,23.16554096
