year,partner_country,segment,chip_import_charges
2021,Pitcairn Islands,general,111.0
2021,Poland,general,37169538.0
2021,Portugal,general,7584155.0
2021,Qatar,general,11306.0
2021,Republic of the Congo,general,346.0
2021,Reunion,general,517.0
2021,Romania,general,19100978.0
2021,Russia,general,2836939.0
2021,Rwanda,general,1939.0
2021,Saint Helena,general,1787.0
2021,Saint Kitts and Nevis,general,605910.0
2021,Saint Lucia,general,38639.0
2021,Saint Pierre and Miquelon,general,1869.0
2021,Saint Vincent and the Grenadines,general,13656.0
2021,Samoa,general,10581.0
2021,San Marino,general,2230.0
2021,Saudi Arabia,general,777498.0
2021,Senegal,general,1248.0
2021,Serbia,general,4174387.0
2021,Seychelles,general,13303.0
2021,Sierra Leone,general,46909.0
2021,Singapore,general,51701767.0
2021,Sint Maarten,general,22453.0
2021,Slovakia,general,9688687.0
2021,Slovenia,general,3941239.0
2021,Solomon Islands,general,0.0
2021,Somalia,general,567.0
2021,South Africa,general,1819751.0
2021,South Korea,general,352545480.0
2021,South Sudan,general,0.0
2021,Spain,general,35305255.0
2021,Sri Lanka,general,921791.0
2021,Suriname,general,8299.0
2021,Svalbard and Jan Mayen,general,0.0
2021,Sweden,general,12422239.0
2021,Switzerland,general,24598033.0
2021,Syria,general,50.0
2021,São Tomé and Príncipe,general,2319.0
2021,Taiwan,general,645354278.0
2021,Tajikistan,general,1452.0
2021,Tanzania,general,1155.0
2021,Thailand,general,392183574.0
2021,Timor-Leste,general,3969.0
2021,Togo,general,28.0
2021,Tokelau,general,0.0
2021,Tonga,general,0.0
2021,Trinidad and Tobago,general,4711.0
2021,Tunisia,general,3601400.0
2021,Turkey,general,17453888.0
2021,Turkmenistan,general,241.0
2021,Turks and Caicos Islands,general,12548.0
2021,Tuvalu,general,730.0
2021,Uganda,general,0.0
2021,Ukraine,general,2923193.0
2021,United Arab Emirates,general,3142919.0
2021,United Kingdom,general,53000270.0
2021,Uruguay,general,12433.0
2021,Uzbekistan,general,525.0
2021,Vanuatu,general,0.0
2021,Vatican City,general,3679.0
2021,Venezuela,general,920948.0
2021,Vietnam,general,823474844.0
2021,Wallis and Futuna,general,157.0
2021,West Bank,general,4400.0
2021,Yemen,general,252.0
2021,Zambia,general,500.0
2021,Zimbabwe,general,124.0
2022,Afghanistan,general,27453.0
